x-spreadsheet,1216,70.1,8.3,28
x-ui,5497,80.2,5.8,5
yapi,28408,86.8,8.1,76
yarn,211,90.2,11.7,100
You-Dont-Need-jQuery,1,100.0,10.1,82
You-Dont-Need-Lodash-Underscore,26,86.7,10.1,100
You-Dont-Need-Momentjs,7,100.0,10.3,37
zdog,520,94.9,10.2,5
ZeroNet,4014,81.3,9.3,100
zx,3,100.0,9.4,43
